Types,Subtype,FTA Type,Category,Class,Type,ESL Category,Subtype,
Support Facilities,Other Support Facility,"Other, Administrative & Maintenance",Facilities,Maintenance,"Other, Administrative & Maintenance",Facilities,Other Support Facility,TRUE
Support Facilities,Heavy Rail Maintenance Facility,"Other, Administrative & Maintenance",Facilities,Maintenance,"Other, Administrative & Maintenance",Facilities,Heavy Rail Maintenance Facility,TRUE
Support Facilities,Light Rail Maintenance Facility,"Other, Administrative & Maintenance",Facilities,Maintenance,"Other, Administrative & Maintenance",Facilities,Light Rail Maintenance Facility,TRUE
Stations/Stops/Terminals,Bus Shelter,,Equipment,Capital Equipment,Bus Shelter,,Bus Shelter,TRUE
Stations/Stops/Terminals,,At-Grade Fixed Guideway Station,Facilities,Passenger,At-Grade Fixed Guideway Station,Facilities,,TRUE
Stations/Stops/Terminals,,Bus Transfer Center,Facilities,Passenger,Bus Transfer Station,Facilities,,TRUE
Stations/Stops/Terminals,,Elevated Fixed Guideway Station,Facilities,Passenger,Elevated Fixed Guideway Station,Facilities,,TRUE
Stations/Stops/Terminals,,Exclusive Grade-Separated Platform Station,Facilities,Passenger,Exclusive Grade-Separated Platform Station,Facilities,,TRUE
Stations/Stops/Terminals,,Simple At-Grade Platform Station,Facilities,Passenger,Simple At-Grade Platform Station,Facilities,,TRUE
Stations/Stops/Terminals,,Underground Fixed Guideway Station,Facilities,Passenger,Underground Fixed Guideway Station,Facilities,,TRUE
Stations/Stops/Terminals,,Parking Structure,Facilities,Parking,Parking Structure,Facilities,,TRUE
Stations/Stops/Terminals,,Surface Parking Lot,Facilities,Parking,Surface Parking Lot,Facilities,,TRUE
Stations/Stops/Terminals,Bus Station,"Other, Passenger or Parking",Facilities,Passenger,Bus Transfer Station,Facilities,Bus Station,TRUE
Stations/Stops/Terminals,Ferry Dock,"Other, Passenger or Parking",Facilities,Passenger,"Other, Passenger or Parking",Facilities,Ferry Dock,TRUE
Stations/Stops/Terminals,Intermodal Terminal,"Other, Passenger or Parking",Facilities,Passenger,"Other, Passenger or Parking",Facilities,Intermodal Terminal,TRUE
Stations/Stops/Terminals,Commuter Rail Station,"Other, Passenger or Parking",Facilities,Passenger,"Other, Passenger or Parking",Facilities,Commuter Rail Station,TRUE
Stations/Stops/Terminals,Other Transit Facility,"Other, Passenger or Parking",Facilities,Passenger,"Other, Passenger or Parking",Facilities,Other Transit Facility,TRUE
Stations/Stops/Terminals,Park and Ride Lot,"Other, Passenger or Parking",Facilities,Parking,"Other, Passenger or Parking",Facilities,Park and Ride Lot,TRUE
Stations/Stops/Terminals,Parking Garage,"Other, Passenger or Parking",Facilities,Parking,Parking Structure,Facilities,Parking Garage,TRUE
Stations/Stops/Terminals,Parking Lot,"Other, Passenger or Parking",Facilities,Parking,Surface Parking Lot,Facilities,Parking Lot,TRUE
